Latitude and Longitude,Class of Land
"(10.32327281825184, 105.28797291096359)",Rice
"(10.318730529955241, 105.2348281378957)",Rice
"(10.324181275911162, 105.24890923161456)",Rice
"(10.323727047081501, 105.2416415703403)",Rice
"(9.983509653666161, 105.50282314738331)",Rice
"(9.966248958139081, 105.52735150418388)",Rice
"(9.962160898672142, 105.52008384290963)",Rice
"(9.98169273834752, 105.53143956365062)",Rice
"(9.974425077072961, 105.48510822302734)",Rice
"(9.99259423025936, 105.51645001227251)",Rice
"(9.982601196006842, 105.54779180151766)",Rice
"(9.94490020314506, 105.52144652939856)",Rice
"(9.991685772600041, 105.49600971493871)",Rice
"(9.975787763561941, 105.49373857079053)",Rice
"(9.992140001429702, 105.51645001227251)",Rice
"(9.979421594199222, 105.50963657982791)",Rice
"(9.976241992391602, 105.48601668068665)",Rice
"(9.983509653666161, 105.52871419067279)",Rice
"(9.990777314940722, 105.49964354557582)",Rice
"(9.95443900856792, 105.52825996184316)",Rice
"(9.994411145578, 105.50872812216863)",Rice
"(9.98805194196276, 105.51054503748719)",Rice
"(9.947171347293361, 105.51735846993179)",Rice
"(9.97669622122126, 105.53734453843595)",Rice
"(9.952622093249282, 105.51554155461324)",Rice
"(9.964886271650101, 105.50009777440548)",Rice
"(9.98941462845174, 105.52962264833207)",Rice
"(9.95943552569418, 105.50691120685008)",Rice
"(9.971245475265341, 105.49600971493871)",Rice
"(9.97533353473228, 105.53371070779883)",Rice
"(9.980330051858541, 105.51009080865757)",Rice
"(9.966248958139081, 105.53280225013955)",Rice
"(9.977150450050921, 105.50827389333898)",Rice
"(9.97987582302888, 105.49600971493871)",Rice
"(9.966248958139081, 105.49782663025726)",Rice
"(9.977604678880581, 105.51508732578358)",Rice
"(9.985326568984801, 105.50645697802042)",Rice
"(9.98805194196276, 105.4991893167462)",Rice
"(9.985780797814462, 105.54506642853983)",Rice
"(9.986689255473781, 105.51099926631684)",Rice
"(9.99123154377038, 105.51327041046503)",Rice
"(9.974425077072961, 105.50827389333898)",Rice
"(9.969882788776362, 105.49646394376836)",Rice
"(9.956710152716221, 105.51645001227251)",Rice
"(9.983509653666161, 105.53416493662849)",Rice
"(9.976241992391602, 105.48556245185699)",Rice
"(9.9512594067603, 105.51463309695396)",Rice
"(9.972608161754321, 105.53461916545811)",Rice
"(9.9785131365399, 105.52825996184316)",Rice
"(9.996682289726301, 105.5005520032351)",Rice
"(9.99259423025936, 105.52008384290963)",Rice
"(9.996228060896641, 105.51463309695396)",Rice
"(9.989868857281401, 105.52053807173928)",Rice
"(9.977150450050921, 105.5128161816354)",Rice
"(9.953530550908601, 105.52871419067279)",Rice
"(9.973062390583982, 105.5209923005689)",Rice
"(9.990323086111061, 105.51054503748719)",Rice
"(9.954893237397581, 105.52508036003567)",Rice
"(9.969428559946701, 105.50191468972403)",Rice
"(9.972608161754321, 105.48965051132376)",Rice
"(9.958072839205201, 105.52144652939856)",Rice
"(9.973970848243301, 105.48737936717555)",Rice
"(9.974879305902622, 105.48692513834592)",Rice
"(9.97987582302888, 105.5141788681243)",Rice
"(9.99123154377038, 105.50191468972403)",Rice
"(9.95943552569418, 105.5323480213099)",Rice
"(9.9626151275018, 105.52326344471712)",Rice
"(9.952167864419621, 105.52689727535423)",Rice
"(9.985780797814462, 105.54688334385838)",Rice
"(9.977150450050921, 105.51009080865757)",Rice
"(9.985780797814462, 105.50918235099826)",Rice
"(9.984418111325482, 105.5073654356797)",Rice
"(9.94807980495268, 105.51735846993179)",Rice
"(9.974879305902622, 105.49010474015338)",Rice
"(9.969428559946701, 105.49555548610908)",Rice
"(9.999861891533921, 105.50645697802042)",Rice
"(9.957164381545882, 105.53053110599134)",Rice
"(9.958981296864522, 105.51690424110214)",Rice
"(9.950805177930642, 105.51463309695396)",Rice
"(9.959889754523841, 105.53007687716172)",Rice
"(9.995319603237322, 105.50146046089439)",Rice
"(9.9785131365399, 105.50918235099826)",Rice
"(9.959889754523841, 105.52508036003567)",Rice
"(9.972608161754321, 105.48874205366448)",Rice
"(9.966703186968742, 105.50009777440548)",Rice
"(9.966703186968742, 105.53189379248028)",Rice
"(9.987597713133102, 105.50509429153152)",Rice
"(9.9467171184637, 105.5241719023764)",Rice
"(9.982146967177181, 105.52780573301351)",Rice
"(9.984418111325482, 105.49146742664232)",Rice
"(9.977604678880581, 105.52462613120602)",Rice
"(9.961252441012821, 105.51872115642072)",Rice
"(9.984418111325482, 105.50918235099826)",Rice
"(9.955347466227241, 105.52598881769495)",Rice
"(9.97987582302888, 105.54052414024343)",Rice
"(9.958527068034861, 105.52462613120602)",Rice
"(9.985326568984801, 105.53416493662849)",Rice
"(9.987597713133102, 105.52553458886531)",Rice
"(9.978967365369561, 105.52553458886531)",Rice
"(9.977604678880581, 105.4878335960052)",Rice
"(9.974879305902622, 105.52371767354674)",Rice
"(9.994865374407661, 105.51099926631684)",Rice
"(9.977604678880581, 105.53825299609522)",Rice
"(9.97351661941364, 105.54279528439164)",Rice
"(9.99577383206698, 105.50554852036115)",Rice
"(9.974879305902622, 105.48647090951627)",Rice
"(9.9671574157984, 105.52326344471712)",Rice
"(9.980784280688201, 105.5264430465246)",Rice
"(9.964432042820441, 105.4991893167462)",Rice
"(9.981238509517862, 105.5060027491908",Rice
"(9.98805194196276, 105.50554852036115)",Rice
"(9.986689255473781, 105.49146742664232)",Rice
"(9.969428559946701, 105.49737240142764)",Rice
"(9.987597713133102, 105.50009777440548)",Rice
"(9.977150450050921, 105.54279528439164)",Rice
"(9.973062390583982, 105.49101319781266)",Rice
"(9.952167864419621, 105.52190075822818)",Rice
"(9.985326568984801, 105.49782663025726)",Rice
"(9.976241992391602, 105.48647090951627)",Rice
"(9.979421594199222, 105.49555548610908)",Rice
"(9.984418111325482, 105.54506642853983)",Rice
"(9.972608161754321, 105.53734453843595)",Rice
"(9.980784280688201, 105.49646394376836)",Rice
"(9.98487234015514, 105.50146046089439)",Rice
"(9.961252441012821, 105.52598881769495)",Rice
"(9.94989672027132, 105.51826692759107)",Rice
"(9.98941462845174, 105.50827389333898)",Rice
"(9.97533353473228, 105.48556245185699)",Rice
"(9.9830554248365, 105.53870722492488)",Rice
"(9.98805194196276, 105.5377987672656)",Rice
"(9.982146967177181, 105.49646394376836)",Rice
"(9.986689255473781, 105.50373160504259)",Rice
"(9.994411145578, 105.51781269876145)",Rice
"(9.982601196006842, 105.50327737621296)",Rice
"(9.978967365369561, 105.50418583387224)",Rice
"(10.001224578022901, 105.50464006270187)",Rice
"(9.96897433111704, 105.52371767354674)",Rice
"(9.950805177930642, 105.52008384290963)",Rice
"(9.98941462845174, 105.4991893167462)",Rice
"(9.97351661941364, 105.53643608077667)",Rice
"(9.97533353473228, 105.52144652939856)",Rice
"(9.9671574157984, 105.49373857079053)",Rice
"(9.967611644628061, 105.50827389333898)",Rice
"(9.982601196006842, 105.51690424110214)",Rice
"(9.9830554248365, 105.53825299609522)",Rice
"(9.968520102287382, 105.4946470284498)",Rice
"(9.974425077072961, 105.50645697802042)",Rice
"(9.96397781399078, 105.52371767354674)",Rice
"(9.991685772600041, 105.51645001227251)",Rice
"(9.985780797814462, 105.50872812216863)",Rice
"(9.981238509517862, 105.50373160504259)",Rice
"(9.971699704095002, 105.4923758843016)",Rice
"(9.95307632207894, 105.51599578344286)",Rice
"(9.97987582302888, 105.51554155461324)",Rice
"(10.481616988271316, 104.91150805695796)",Non Rice
"(10.481162759441657, 104.91150805695796)",Non Rice
"(10.480708530611997, 104.91150805695796)",Non Rice
"(10.480254301782336, 104.91150805695796)",Non Rice
"(10.479800072952678, 104.91150805695796)",Non Rice
"(10.479345844123017, 104.91150805695796)",Non Rice
"(10.478891615293357, 104.91150805695796)",Non Rice
"(10.478437386463696, 104.91150805695796)",Non Rice
"(10.477983157634037, 104.91150805695796)",Non Rice
"(10.477528928804377, 104.91150805695796)",Non Rice
"(10.477074699974716, 104.91150805695796)",Non Rice
"(10.476620471145058, 104.91150805695796)",Non Rice
"(10.476166242315397, 104.91150805695796)",Non Rice
"(10.475712013485737, 104.91150805695796)",Non Rice
"(10.475257784656076, 104.91150805695796)",Non Rice
"(10.474803555826417, 104.91150805695796)",Non Rice
"(10.474349326996757, 104.91150805695796)",Non Rice
"(10.473895098167096, 104.91150805695796)",Non Rice
"(10.473440869337438, 104.91150805695796)",Non Rice
"(10.472986640507777, 104.91150805695796)",Non Rice
"(10.472532411678117, 104.91150805695796)",Non Rice
"(10.472078182848456, 104.91150805695796)",Non Rice
"(10.471623954018797, 104.91150805695796)",Non Rice
"(10.481616988271316, 104.91196228578761)",Non Rice
"(10.481162759441657, 104.91196228578761)",Non Rice
"(10.480708530611997, 104.91196228578761)",Non Rice
"(10.480254301782336, 104.91196228578761)",Non Rice
"(10.479800072952678, 104.91196228578761)",Non Rice
"(10.479345844123017, 104.91196228578761)",Non Rice
"(10.478891615293357, 104.91196228578761)",Non Rice
"(10.478437386463696, 104.91196228578761)",Non Rice
"(10.477983157634037, 104.91196228578761)",Non Rice
"(10.477528928804377, 104.91196228578761)",Non Rice
"(10.477074699974716, 104.91196228578761)",Non Rice
"(10.476620471145058, 104.91196228578761)",Non Rice
"(10.476166242315397, 104.91196228578761)",Non Rice
"(10.475712013485737, 104.91196228578761)",Non Rice
"(10.475257784656076, 104.91196228578761)",Non Rice
"(10.474803555826417, 104.91196228578761)",Non Rice
"(10.474349326996757, 104.91196228578761)",Non Rice
"(10.473895098167096, 104.91196228578761)",Non Rice
"(10.473440869337438, 104.91196228578761)",Non Rice
"(10.472986640507777, 104.91196228578761)",Non Rice
"(10.472532411678117, 104.91196228578761)",Non Rice
"(10.472078182848456, 104.91196228578761)",Non Rice
"(10.471623954018797, 104.91196228578761)",Non Rice
"(10.471169725189137, 104.91196228578761)",Non Rice
"(10.470715496359476, 104.91196228578761)",Non Rice
"(10.470261267529818, 104.91196228578761)",Non Rice
"(10.469807038700157, 104.91196228578761)",Non Rice
"(10.469352809870497, 104.91196228578761)",Non Rice
"(10.468898581040836, 104.91196228578761)",Non Rice
"(10.468444352211177, 104.91196228578761)",Non Rice
"(10.467990123381517, 104.91196228578761)",Non Rice
"(10.467535894551856, 104.91196228578761)",Non Rice
"(10.467081665722198, 104.91196228578761)",Non Rice
"(10.466627436892537, 104.91196228578761)",Non Rice
"(10.466173208062877, 104.91196228578761)",Non Rice
"(10.465718979233216, 104.91196228578761)",Non Rice
"(10.465264750403557, 104.91196228578761)",Non Rice
"(10.464810521573897, 104.91196228578761)",Non Rice
"(10.464356292744236, 104.91196228578761)",Non Rice
"(10.463902063914578, 104.91196228578761)",Non Rice
"(10.463447835084917, 104.91196228578761)",Non Rice
"(10.462993606255257, 104.91196228578761)",Non Rice
"(10.462539377425596, 104.91196228578761)",Non Rice
"(10.462085148595937, 104.91196228578761)",Non Rice
"(10.461630919766277, 104.91196228578761)",Non Rice
"(10.461176690936616, 104.91196228578761)",Non Rice
"(10.460722462106958, 104.91196228578761)",Non Rice
"(10.460268233277297, 104.91196228578761)",Non Rice
"(10.459814004447637, 104.91196228578761)",Non Rice
"(10.459359775617976, 104.91196228578761)",Non Rice
"(10.458905546788317, 104.91196228578761)",Non Rice
"(10.482071217100977, 104.91241651461723)",Non Rice
"(10.481616988271316, 104.91241651461723)",Non Rice
"(10.481162759441657, 104.91241651461723)",Non Rice
"(10.480708530611997, 104.91241651461723)",Non Rice
"(10.480254301782336, 104.91241651461723)",Non Rice
"(10.479800072952678, 104.91241651461723)",Non Rice
"(10.479345844123017, 104.91241651461723)",Non Rice
"(10.478891615293357, 104.91241651461723)",Non Rice
"(10.478437386463696, 104.91241651461723)",Non Rice
"(10.477983157634037, 104.91241651461723)",Non Rice
"(10.477528928804377, 104.91241651461723)",Non Rice
"(10.477074699974716, 104.91241651461723)",Non Rice
"(10.476620471145058, 104.91241651461723)",Non Rice
"(10.476166242315397, 104.91241651461723)",Non Rice
"(10.475712013485737, 104.91241651461723)",Non Rice
"(10.475257784656076, 104.91241651461723)",Non Rice
"(10.474803555826417, 104.91241651461723)",Non Rice
"(10.474349326996757, 104.91241651461723)",Non Rice
"(10.473895098167096, 104.91241651461723)",Non Rice
"(10.473440869337438, 104.91241651461723)",Non Rice
"(10.472986640507777, 104.91241651461723)",Non Rice
"(10.472532411678117, 104.91241651461723)",Non Rice
"(10.472078182848456, 104.91241651461723)",Non Rice
"(10.471623954018797, 104.91241651461723)",Non Rice
"(10.471169725189137, 104.91241651461723)",Non Rice
"(10.470715496359476, 104.91241651461723)",Non Rice
"(10.325089733570481, 105.4923758843016)",Non Rice
"(10.325089733570481, 105.49283011313122)",Non Rice
"(10.324635504740822, 105.49283011313122)",Non Rice
"(10.325089733570481, 105.49328434196087)",Non Rice
"(10.324635504740822, 105.49328434196087)",Non Rice
"(10.324181275911162, 105.49328434196087)",Non Rice
"(10.325089733570481, 105.49373857079053)",Non Rice
"(10.324635504740822, 105.49373857079053)",Non Rice
"(10.324181275911162, 105.49373857079053)",Non Rice
"(10.323727047081501, 105.49373857079053)",Non Rice
"(10.325089733570481, 105.49419279962015)",Non Rice
"(10.324635504740822, 105.49419279962015)",Non Rice
"(10.324181275911162, 105.49419279962015)",Non Rice
"(10.323727047081501, 105.49419279962015)",Non Rice
"(10.32327281825184, 105.49419279962015)",Non Rice
"(10.325089733570481, 105.4946470284498)",Non Rice
"(10.324635504740822, 105.4946470284498)",Non Rice
"(10.324181275911162, 105.4946470284498)",Non Rice
"(10.323727047081501, 105.4946470284498)",Non Rice
"(10.32327281825184, 105.4946470284498)",Non Rice
"(10.32281858942218, 105.4946470284498)",Non Rice
"(10.325089733570481, 105.49510125727943)",Non Rice
"(10.324635504740822, 105.49510125727943)",Non Rice
"(10.324181275911162, 105.49510125727943)",Non Rice
"(10.323727047081501, 105.49510125727943)",Non Rice
"(10.32327281825184, 105.49510125727943)",Non Rice
"(10.32281858942218, 105.49510125727943)",Non Rice
"(10.322364360592521, 105.49510125727943)",Non Rice
"(10.321910131762861, 105.49510125727943)",Non Rice
"(10.325089733570481, 105.49555548610908)",Non Rice
"(10.324635504740822, 105.49555548610908)",Non Rice
"(10.324181275911162, 105.49555548610908)",Non Rice
"(10.323727047081501, 105.49555548610908)",Non Rice
"(10.32327281825184, 105.49555548610908)",Non Rice
"(10.32281858942218, 105.49555548610908)",Non Rice
"(10.322364360592521, 105.49555548610908)",Non Rice
"(10.321910131762861, 105.49555548610908)",Non Rice
"(10.321455902933202, 105.49555548610908)",Non Rice
"(10.325089733570481, 105.49600971493871)",Non Rice
"(10.324635504740822, 105.49600971493871)",Non Rice
"(10.324181275911162, 105.49600971493871)",Non Rice
"(10.323727047081501, 105.49600971493871)",Non Rice
"(10.32327281825184, 105.49600971493871)",Non Rice
"(10.32281858942218, 105.49600971493871)",Non Rice
"(10.322364360592521, 105.49600971493871)",Non Rice
"(10.321910131762861, 105.49600971493871)",Non Rice
"(10.321455902933202, 105.49600971493871)",Non Rice
"(10.321001674103542, 105.49600971493871)",Non Rice
"(10.325089733570481, 105.49646394376836)",Non Rice
"(10.324635504740822, 105.49646394376836)",Non Rice
"(10.474349326996757, 105.53107618058692)",Non Rice
"(10.473895098167096, 105.53107618058692)",Non Rice
"(10.474349326996757, 105.53153040941655)",Non Rice
"(10.473895098167096, 105.53153040941655)",Non Rice
"(10.473440869337438, 105.53153040941655)",Non Rice
"(10.474803555826417, 105.5319846382462)",Non Rice
"(10.474349326996757, 105.5319846382462)",Non Rice
"(10.473895098167096, 105.5319846382462)",Non Rice
"(10.473440869337438, 105.5319846382462)",Non Rice
"(10.472986640507777, 105.5319846382462)",Non Rice
"(10.472532411678117, 105.5319846382462)",Non Rice
"(10.474803555826417, 105.53243886707584)",Non Rice
"(10.474349326996757, 105.53243886707584)",Non Rice
"(10.473895098167096, 105.53243886707584)",Non Rice
"(10.473440869337438, 105.53243886707584)",Non Rice
"(10.472986640507777, 105.53243886707584)",Non Rice
"(10.472532411678117, 105.53243886707584)",Non Rice
"(10.472078182848456, 105.53243886707584)",Non Rice
"(10.475257784656076, 105.53289309590548)",Non Rice
"(10.474803555826417, 105.53289309590548)",Non Rice
"(10.474349326996757, 105.53289309590548)",Non Rice
"(10.473895098167096, 105.53289309590548)",Non Rice
"(10.473440869337438, 105.53289309590548)",Non Rice
"(10.472986640507777, 105.53289309590548)",Non Rice
"(10.472532411678117, 105.53289309590548)",Non Rice
"(10.472078182848456, 105.53289309590548)",Non Rice
"(10.471623954018797, 105.53289309590548)",Non Rice
"(10.471169725189137, 105.53289309590548)",Non Rice
"(10.475257784656076, 105.53334732473513)",Non Rice
"(10.474803555826417, 105.53334732473513)",Non Rice
"(10.474349326996757, 105.53334732473513)",Non Rice
"(10.473895098167096, 105.53334732473513)",Non Rice
"(10.473440869337438, 105.53334732473513)",Non Rice
"(10.472986640507777, 105.53334732473513)",Non Rice
"(10.472532411678117, 105.53334732473513)",Non Rice
"(10.472078182848456, 105.53334732473513)",Non Rice
"(10.471623954018797, 105.53334732473513)",Non Rice
"(10.471169725189137, 105.53334732473513)",Non Rice
"(10.470715496359476, 105.53334732473513)",Non Rice
"(10.470261267529818, 105.53334732473513)",Non Rice
"(10.475712013485737, 105.53380155356476)",Non Rice
"(10.475257784656076, 105.53380155356476)",Non Rice
"(10.474803555826417, 105.53380155356476)",Non Rice
"(10.474349326996757, 105.53380155356476)",Non Rice
"(10.473895098167096, 105.53380155356476)",Non Rice
"(10.473440869337438, 105.53380155356476)",Non Rice
"(10.472986640507777, 105.53380155356476)",Non Rice
"(10.472532411678117, 105.53380155356476)",Non Rice
"(10.472078182848456, 105.53380155356476)",Non Rice
"(10.471623954018797, 105.53380155356476)",Non Rice
"(10.015305671742361, 105.8103360650496)",Non Rice
"(10.015305671742361, 105.81079029387922)",Non Rice
"(10.0148514429127, 105.81079029387922)",Non Rice
"(10.015305671742361, 105.81124452270888)",Non Rice
"(10.0148514429127, 105.81124452270888)",Non Rice
"(10.014397214083042, 105.81124452270888)",Non Rice
"(10.013942985253381, 105.81124452270888)",Non Rice
"(10.015759900572021, 105.8116987515385)",Non Rice
"(10.015305671742361, 105.8116987515385)",Non Rice
"(10.0148514429127, 105.8116987515385)",Non Rice
"(10.014397214083042, 105.8116987515385)",Non Rice
"(10.013942985253381, 105.8116987515385)",Non Rice
"(10.01348875642372, 105.8116987515385)",Non Rice
"(10.015759900572021, 105.81215298036815)",Non Rice
"(10.015305671742361, 105.81215298036815)",Non Rice
"(10.0148514429127, 105.81215298036815)",Non Rice
"(10.014397214083042, 105.81215298036815)",Non Rice
"(10.013942985253381, 105.81215298036815)",Non Rice
"(10.01348875642372, 105.81215298036815)",Non Rice
"(10.013034527594062, 105.81215298036815)",Non Rice
"(10.015759900572021, 105.81260720919778)",Non Rice
"(10.015305671742361, 105.81260720919778)",Non Rice
"(10.0148514429127, 105.81260720919778)",Non Rice
"(10.014397214083042, 105.81260720919778)",Non Rice
"(10.013942985253381, 105.81260720919778)",Non Rice
"(10.01348875642372, 105.81260720919778)",Non Rice
"(10.013034527594062, 105.81260720919778)",Non Rice
"(10.012580298764401, 105.81260720919778)",Non Rice
"(10.016214129401682, 105.81306143802743)",Non Rice
"(10.015759900572021, 105.81306143802743)",Non Rice
"(10.015305671742361, 105.81306143802743)",Non Rice
"(10.0148514429127, 105.81306143802743)",Non Rice
"(10.014397214083042, 105.81306143802743)",Non Rice
"(10.013942985253381, 105.81306143802743)",Non Rice
"(10.01348875642372, 105.81306143802743)",Non Rice
"(10.013034527594062, 105.81306143802743)",Non Rice
"(10.012580298764401, 105.81306143802743)",Non Rice
"(10.012126069934741, 105.81306143802743)",Non Rice
"(10.01167184110508, 105.81306143802743)",Non Rice
"(10.016214129401682, 105.81351566685709)",Non Rice
"(10.015759900572021, 105.81351566685709)",Non Rice
"(10.015305671742361, 105.81351566685709)",Non Rice
"(10.0148514429127, 105.81351566685709)",Non Rice
"(10.014397214083042, 105.81351566685709)",Non Rice
"(10.013942985253381, 105.81351566685709)",Non Rice
"(10.01348875642372, 105.81351566685709)",Non Rice
"(10.013034527594062, 105.81351566685709)",Non Rice
"(10.012580298764401, 105.81351566685709)",Non Rice
"(10.012126069934741, 105.81351566685709)",Non Rice
"(10.01167184110508, 105.81351566685709)",Non Rice
"(10.009400696956781, 105.67088781435012)",Non Rice
"(10.0103091546161, 105.67134204317975)",Non Rice
"(10.009854925786442, 105.67134204317975)",Non Rice
"(10.009400696956781, 105.67134204317975)",Non Rice
"(10.008946468127121, 105.67134204317975)",Non Rice
"(10.010763383445761, 105.6717962720094)",Non Rice
"(10.0103091546161, 105.6717962720094)",Non Rice
"(10.009854925786442, 105.6717962720094)",Non Rice
"(10.009400696956781, 105.6717962720094)",Non Rice
"(10.008946468127121, 105.6717962720094)",Non Rice
